0,,Toxicroak,Toxicroak,Toxicroak,Umbreon,Azumarill,Azumarill,Alolan muk,Grimer,Grimer,Skuntank,Skuntank,Skuntank,Drapion,Drapion,Tentacruel,Tentacruel,Alolan raticate,Alolan raticate,Venomoth,Venomoth,Golbat,Crobat,Alolan ninetales,Alolan ninetales,Nidoqueen,Sneasel,Alolan marowak,Sableye,Mawile,Dusclops,Venusaur,Venusaur,Dustox,Froslass,Tyranitar,Swalot,Qwilfish,Qwilfish
Skuntank,Skuntank.poison jab.crunch.sludge bomb.1500,-0.532808399,-0.154855643,-0.233595801,0.205627706,0.316017316,0.465367965,0.029362591,-0.087456847,-0.114225437,-0.062770563,0,-0.062770563,-0.069565217,-0.049388293,0.127401245,0.127401245,0.165875504,0.097268249,0.264069264,0.264069264,0.075757576,0.121212121,0.270562771,0.270562771,-0.144563466,-0.258806942,0.278049819,0.318181818,-0.015640881,0.272727273,0.142857143,-0.120833333,0.172077922,-0.139508929,-0.386554622,0.102813853,-0.190082645,-0.190082645
Skuntank,Skuntank.poison jab.crunch.flamethrower.1500,-0.509186352,-0.173637386,-0.469816273,0.222943723,0.127305665,0.257575758,0.030586655,-0.087456847,-0.114225437,-0.145021645,0.062770563,0,-0.171014493,0.040391493,0.127401245,0.127401245,0.13503508,-0.225287356,-0.155363155,-0.155363155,0.075757576,0.121212121,0.296536797,0.296536797,-0.144563466,-0.258806942,0.278049819,0.318181818,0.353896104,0.272727273,0.166071429,0.1495671,0.041238612,-0.139508929,-0.386554622,0.102813853,-0.190082645,-0.190082645
Drapion,Drapion.infestation.crunch.sludge bomb.1500,-0.669291339,-0.511811024,-0.527559055,0.094993412,-0.130797101,0.144927536,0.04027986,-0.164556962,-0.390295359,0.171014493,0.069565217,0.171014493,0,0.028985507,0.112137681,0.112137681,0.065667166,0.076761619,-0.068391994,-0.068391994,0.016083687,-0.184160676,0.151101685,0.151101685,-0.148122289,0.134662944,0.116429081,0.369565217,-0.12173913,0.147826087,-0.112318841,-0.425,0.0403634,-0.3671875,-0.331932773,-0.248484848,-0.454545455,-0.454545455
Drapion,Drapion.bite.crunch.aqua tail.1500,-0.419947507,-0.186351706,-0.356955381,-0.178147939,-0.487318841,-0.313405797,0.044377811,0.31884058,-0.075454045,-0.040391493,0.049388293,-0.040391493,-0.028985507,0,0.124615036,0.124615036,-0.220689655,-0.427586207,0.391304348,0.391304348,0.255072464,0.27826087,-0.33604336,-0.33604336,0.333227547,-0.224677569,0.786956522,0.439130435,-0.060869565,0.643478261,0.439130435,0.291304348,0.395652174,0.417391304,-0.121848739,0.369565217,0.152173913,0.152173913
Tentacruel,Tentacruel.poison jab.blizzard.hydro pump.1500,-0.184260171,-0.110994915,-0.084789206,-0.316017316,0.4140625,0.552083333,-0.054759339,-0.063258175,-0.217827004,0.158143939,-0.127401245,-0.127401245,-0.112137681,-0.124615036,0,-0.122395833,-0.052155172,-0.052155172,-0.603174603,-0.281746032,-0.260612469,-0.286355807,0.5703125,0.4453125,-0.700729927,0.064984709,-0.075627561,-0.074151976,0.021773098,-0.119007888,-0.053125,-0.0375,-0.264925373,0.078125,-0.092075893,0.09765625,0.148050103,0.148050103
Tentacruel,Tentacruel.poison jab.sludge wave.hydro pump.1500,-0.184260171,-0.110994915,-0.084789206,-0.196969697,0.536458333,0.697916667,-0.054759339,-0.063258175,-0.217827004,0.158143939,-0.127401245,-0.127401245,-0.112137681,-0.124615036,0.122395833,0,0.025700431,0.025700431,-0.603174603,-0.281746032,-0.260612469,-0.286355807,0.575520833,0.450520833,-0.700729927,0.105862959,-0.075627561,-0.074151976,0.021773098,-0.119007888,-0.0375,-0.00625,-0.264925373,0.078125,-0.092075893,0.09765625,0.015237603,0.015237603
Alolan raticate,Alolan raticate.quick attack.crunch.hyper beam.1500,-0.645669291,-0.137786225,-0.645669291,0.018614719,-0.375,-0.47826087,-0.413793103,0.285057471,0.404597701,-0.165875504,-0.165875504,-0.13503508,-0.065667166,0.220689655,0.052155172,-0.025700431,0,-0.142528736,0.485057471,0.485057471,0.167816092,0.287356322,-0.37398374,-0.028520699,-0.028760802,-0.038047032,0.465517241,0.365517241,0.098050975,0.472413793,-0.258333333,-0.341666667,0.579310345,-0.39453125,-0.281512605,-0.081818182,0.018067826,0.018067826
Alolan raticate,Alolan raticate.quick attack.crunch.hyper fang.1500,-0.68503937,-0.150239841,-0.68503937,0.216091954,-0.182971014,-0.469202899,0.055172414,0.285057471,0.404597701,-0.097268249,-0.097268249,0.225287356,-0.076761619,0.427586207,0.052155172,-0.025700431,0.142528736,0,0.485057471,0.485057471,0.167816092,0.287356322,0.282160546,0.050649472,-0.028760802,-0.127617842,0.465517241,0.365517241,0.098050975,0.472413793,-0.258333333,-0.341666667,0.579310345,-0.39453125,-0.281512605,-0.081818182,0.018067826,0.018067826
Venomoth,Venomoth.confusion.poison fang.silver wind.1500,0.804232804,0.804232804,0.756613757,-0.461038961,0.05926501,0.53968254,-0.347126437,0.624338624,0.481481481,0.155363155,-0.264069264,0.155363155,0.068391994,-0.391304348,0.603174603,0.603174603,-0.485057471,-0.485057471,0,-0.161375661,0.01475912,-0.041994751,0.319589624,-0.100271003,0.357780095,-0.685015291,-0.045407234,-0.405982906,-0.313043478,-0.174757282,0.650793651,0.563492063,0.043650794,0.187065972,-0.364145658,0.48015873,0.44047619,0.44047619
Venomoth,Venomoth.confusion.psychic.silver wind.1500,0.80952381,0.80952381,0.80952381,-0.461038961,-0.309782609,0.452380952,-0.347126437,0.634920635,0.5,0.155363155,-0.264069264,0.155363155,0.068391994,-0.391304348,0.281746032,0.281746032,-0.485057471,-0.485057471,0.161375661,0,0.070732387,-0.049868766,-0.027487418,-0.214092141,0.330282316,-0.685015291,0.10291439,-0.405982906,-0.330434783,-0.174757282,0.650793651,0.563492063,0.047619048,0.187065972,-0.364145658,0.515873016,0.416666667,0.416666667
