0.0323073,Walrein,frost breath.water pulse.blizzard,Dewgong,ice shard.icy wind.water pulse,Sneasel,ice shard.ice punch.foul play
0.0323439,Mamoswine,powder snow.avalanche.ancient power,Froslass,powder snow.avalanche.shadow ball,Sneasel,ice shard.ice punch.foul play
0.0328927,Mamoswine,powder snow.avalanche.ancient power,Sneasel,ice shard.ice punch.foul play,Abomasnow,powder snow.outrage.blizzard
0.0334829,Walrein,frost breath.water pulse.blizzard,Alolan ninetales,powder snow.ice beam.psyshock,Jynx,frost breath.avalanche.psyshock
0.0337024,Flygon,mud shot.dragon claw.earthquake,Jynx,frost breath.avalanche.psyshock,Sneasel,ice shard.ice punch.foul play
0.0341634,Mamoswine,powder snow.avalanche.ancient power,Piloswine,powder snow.avalanche.stone edge,Cloyster,ice shard.avalanche.hydro pump
0.0343,Cloyster,ice shard.avalanche.hydro pump,Alolan ninetales,powder snow.ice beam.dazzling gleam,Sneasel,ice shard.ice punch.foul play
0.0344878,Walrein,frost breath.water pulse.blizzard,Piloswine,powder snow.avalanche.stone edge,Sneasel,ice shard.ice punch.foul play
0.0351853,Alolan ninetales,powder snow.ice beam.dazzling gleam,Jynx,frost breath.avalanche.psyshock,Abomasnow,powder snow.outrage.blizzard
0.0367512,Cloyster,ice shard.avalanche.hydro pump,Froslass,powder snow.avalanche.shadow ball,Jynx,frost breath.avalanche.psyshock
0.0368805,Walrein,frost breath.water pulse.blizzard,Cloyster,ice shard.avalanche.hydro pump,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0370195,Walrein,frost breath.water pulse.blizzard,Cloyster,ice shard.avalanche.hydro pump,Froslass,powder snow.avalanche.shadow ball
0.0379171,Mamoswine,powder snow.avalanche.ancient power,Alolan ninetales,powder snow.ice beam.psyshock,Jynx,frost breath.avalanche.psyshock
0.0381951,Walrein,frost breath.water pulse.blizzard,Mamoswine,powder snow.avalanche.ancient power,Froslass,powder snow.avalanche.shadow ball
0.0389268,Mamoswine,powder snow.avalanche.ancient power,Cloyster,ice shard.avalanche.hydro pump,Sneasel,ice shard.ice punch.foul play
0.0389975,Cloyster,ice shard.avalanche.hydro pump,Alolan ninetales,powder snow.ice beam.dazzling gleam,Alolan ninetales,powder snow.ice beam.psyshock
